,標題,看板名稱
40,[新聞] 吳季穎不只搭上裕隆千金！被爆「網紅前女,Gosssiping
41,Re: [新聞] 曾銘宗鬆口：假設郭台銘有意願也可合作,Gosssiping
42,Re: [新聞] 快訊／為藍白合再拋「折衷方案」　侯友宜,Gosssiping
43,[問卦] 怎麼稱呼炸醫院港口機場斷人水電的國家?,Gosssiping
44,[問卦] 番茄什麼時候跌價？,Gosssiping
45,[問卦] 小楊哥的產品進來臺灣會熱銷嗎？,Gosssiping
46,[問卦] 建商壓新聞？你知道房價又破紀錄了嗎,Gosssiping
47,[問卦] gg在大寮設廠的可能性？,Gosssiping
48,[新聞] 一帶一路學不來？郭正亮揭美國對抗戰略：,Gosssiping
49,[問卦] 送詩卡交朋友  有人試過嗎？,Gosssiping
50,Re: [問卦] 真的有人只喜歡平胸的女生嗎？,Gosssiping
51,[問卦] 要買緯創還是群創？？,Gosssiping
52,[新聞] 2000美軍待命支援！ 紐時：以色列請求美,Gosssiping
53,Re: [爆卦] 加薩醫院是哈瑪斯火箭發射失誤炸毀,Gosssiping
54,[新聞] 曾銘宗鬆口：假設郭台銘有意願也可合作,Gosssiping
55,Re: [新聞] 台積電放棄龍科3期　台南、高雄、屏東喊,Gosssiping
56,Re: [爆卦] 加薩醫院是哈瑪斯火箭發射失誤炸毀,Gosssiping
57,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若,Gosssiping
58,"[問卦] 日本女生除了""可愛""還有其他形容詞嗎?",Gosssiping
59,Re: [問卦] 讀書是翻轉階級的唯一方法？,Gosssiping
60,[問卦] 俄羅斯有可能攻打以色列嗎,Gosssiping
61,Re: [新聞] 快訊／為藍白合再拋「折衷方案」　侯友宜,Gosssiping
62,[問卦] 原來行政罰是可以溝通的卦,Gosssiping
63,Re: [新聞] 少子化多嚴重？他見母校一幕超震撼：湊不,Gosssiping
64,[爆卦] 加薩醫院是哈瑪斯火箭發射失誤炸毀,Gosssiping
65,[問卦] 有沒有上班穿的很辣卻遮遮掩掩不給人家,Gosssiping
66,[問卦] 諮商是不是被造神太嚴重?,Gosssiping
67,[問卦] 被騙500元要放過她嗎？,Gosssiping
68,Re: [問卦] 台北市換人快滿1年了，有什麼改變嗎?,Gosssiping
69,[問卦] 早上健身完後會想睡覺嗎？,Gosssiping
70,[問卦] 沒人發現台式甜甜圈很好吃嗎,Gosssiping
71,Re: [新聞] 民調／藍白能合？賴清德42.62%穩第一　柯,Gosssiping
72,Re: [問卦] 台北市換人快滿1年了，有什麼改變嗎?,Gosssiping
73,[問卦] 台灣人講話很喜歡加真的?,Gosssiping
74,[新聞] 拜登考慮1000億美元追加預算 國防援助以,Gosssiping
75,Re: [新聞] 少子化多嚴重？他見母校一幕超震撼：湊不,Gosssiping
76,[問卦] 台積電二奈米廠要換蓋哪個縣市？,Gosssiping
77,Re: [爆卦] 以色列發言人承認轟炸醫院後又刪除貼文,Gosssiping
78,[問卦] 用飛彈炸醫院的團體算不算恐怖組織？,Gosssiping
79,[問卦] 樓下來了一個超帥的保全,Gosssiping
80,Re: [爆卦] 以色列發言人承認轟炸醫院後又刪除貼文,Gosssiping
81,[問卦] 盜走的懶叫去哪了？,Gosssiping
82,[問卦] 我這樣是不是老了,Gosssiping
83,Re: [問卦] 加薩醫院是以色列炸的吧,Gosssiping
84,[問卦] 昨晚跟女友做愛不小心太快射該怎麼辦？,Gosssiping
85,[問卦] 台灣園區眾多為什麼竹科太太獨大？,Gosssiping
86,[問卦] 長春藤大學如果少了猶太人 會怎麼樣?,Gosssiping
87,Re: [新聞] 快訊／為藍白合再拋「折衷方案」　侯友宜,Gosssiping
88,[新聞] 台積電放棄龍科3期　台南、高雄、屏東喊,Gosssiping
89,[問卦] 美軍不知誰炸北溪二號、加薩醫院 最大笑話,Gosssiping
90,[新聞] YTR沒出席典禮挨轟！呱吉千字文反擊「不,Gosssiping
91,[問卦] 敗登是不是美國屎上最爛的總統,Gosssiping
92,[新聞] 加薩醫院遭空襲500死 拜登訪以色列破局,Gosssiping
93,Re: [新聞] 快訊／為藍白合再拋「折衷方案」　侯友宜,Gosssiping
94,[問卦] 醫生把病人當手機桌布，算噁男嗎？,Gosssiping
95,Re: [問卦] 文旦都是誰在吃？☺,Gosssiping
96,Re: [新聞] 獨／標示不實液蛋流向出爐 知名食品大廠,Gosssiping
97,Re: [新聞] 快訊／為藍白合再拋「折衷方案」　侯友宜,Gosssiping
98,Re: [新聞] 台積電放棄龍科3期　台南、高雄、屏東喊,Gosssiping
99,Re: [新聞] 快訊／為藍白合再拋「折衷方案」　侯友宜,Gosssiping
100,[問卦] 加薩醫院是以色列炸的吧,Gosssiping
101,[問卦] 如果只有一台可選，要選清淨還是除濕？,Gosssiping
102,[爆卦] 以色列發言人承認轟炸醫院後又刪除貼文,Gosssiping
103,[問卦] =.= 頻繁進口營業稅稅基搶錢嗎？！,Gosssiping
104,[新聞] 學區蟑螂？柯市政顧問爆斂財　喬入學「狠,Gosssiping
105,[問卦] 國道客運到底被誰玩爛了？,Gosssiping
106,[問卦] 自己蓋房子有多貴？,Gosssiping
107,Re: [新聞] 少子化多嚴重？他見母校一幕超震撼：湊不,Gosssiping
108,[新聞] 柯文哲喊自己「勝率最高」　媒體人曝劣,Gosssiping
109,Re: [新聞] 少子化多嚴重？他見母校一幕超震撼：湊不,Gosssiping
110,[問卦] 八卦鄉民們是道歉文專家嗎？,Gosssiping
111,[新聞] 快訊／為藍白合再拋「折衷方案」　侯友宜,Gosssiping
112,[問卦] 公園大媽開始跳斗音了,Gosssiping
113,[問卦] 文旦都是誰在吃？☺ ,Gosssiping
114,[問卦] 以色列是北風還是太陽,Gosssiping
115,Re: [問卦] 真的有人只喜歡平胸的女生嗎？,Gosssiping
116,[問卦] 開校車是不是可以無敵？,Gosssiping
117,[新聞] 街頭橫向爆衝！休旅車突倒車　撞進鑰匙店,Gosssiping
118,Re: [問卦] 國道客運到底被誰玩爛了？,Gosssiping
119,[問卦] 如果女兒不聽話 會打罵教育嗎？？？,Gosssiping
120,[問卦] 護理已經很慘為什麼還要鬥,Gosssiping
121,"[問卦] 年收多少可以嗆""沒人賺得比我多""?",Gosssiping
122,[問卦] OverWatch 2為啥過氣這麼快？,Gosssiping
123,[問卦] 為什麼國民黨老人不懂,Gosssiping
124,[問卦] 電子報可以設垃圾信 垃圾簡訊無解？,Gosssiping
125,[問卦] 二十多歲就痛風？,Gosssiping
126,[問卦] 這七年讓年輕人都變犯罪生力軍?,Gosssiping
127,[問卦] 最近又有漲價題材?,Gosssiping
128,Re: [新聞] 港湖泛綠分裂！賴清德幫高嘉瑜站台 吳欣岱場外發文宣,Gosssiping
129,[問卦] yt廣告的下載數跟評論哪個是真的？,Gosssiping
130,Re: [問卦] 真的有人只喜歡平胸的女生嗎？,Gosssiping
131,[問卦] 跟二十代女森可以聊什麼?,Gosssiping
132,[問卦] 月月都生不如死怎麼人口還持續增加?,Gosssiping
133,Re: [問卦] 鑽石其實根本不值錢？,Gosssiping
134,[問卦] 為什麼台積電可以左右台灣的房價?,Gosssiping
135,[新聞]萬一「台灣有事」沖繩12萬人須避難 日官房,Gosssiping
136,[問卦] 女明星會穿阿嬤內褲嗎？,Gosssiping
137,[問卦] 台科自助餐漲太多了吧？,Gosssiping
138,[新聞] 獨／標示不實液蛋流向出爐 知名食品大廠,Gosssiping
139,[新聞] 民調／藍白能合？賴清德42.62%穩第一　柯,Gosssiping
140,[問卦] 當甘迺迪的副總統不也很爽嗎？,Gosssiping
141,[新聞] 「桃園不做，高雄來做」高市議員張博洋籲,Gosssiping
142,[問卦] 「治喪期間」四字是否無敵？,Gosssiping
143,Re: [新聞] 公車開太快猛急煞！　乘客起身準備下車..,Gosssiping
144,Re: [問卦] 讀書是翻轉階級的唯一方法？,Gosssiping
145,[新聞] 柯文哲談潛艦國造1句話！486先生傻眼,Gosssiping
146,[新聞] 柯美蘭自稱素食主義者被抓包PO「連吃烤,Gosssiping
147,[問卦] 黃皮膚去中東是不是很安全？,Gosssiping
148,[問卦] 40歲大叔練瑜珈也能變軟Q嗎？,Gosssiping
149,Re: [新聞] 郭台銘捐千萬成立「郭爸爸希望基金」！連,Gosssiping
150,[問卦] 真的有人喜歡小屌肥宅嗎？,Gosssiping
151,Re: [問卦] 鑽石其實根本不值錢？,Gosssiping
152,[問卦] 以前台女是不是都不挑的,Gosssiping
153,Re: [問卦] 台灣高樓搬家有這樣的嗎？,Gosssiping
154,[問卦] 4x歲大叔 怎麼娶到老婆的?,Gosssiping
155,Re: [問卦] 真的有人只喜歡平胸的女生嗎？,Gosssiping
156,Re: [新聞] 陳佩琪：若柯當選出訪當女伴 雖像「花瓶,Gosssiping
157,[新聞] 少子化多嚴重？他見母校一幕超震撼：湊不,Gosssiping
158,[問卦] 秋老虎也太凶了吧,Gosssiping
159,[問卦] 志明甚麼來頭 ?,Gosssiping
160,[問卦] 包莖能練九陽神功嗎？,Gosssiping
161,[問卦] 台電客服是不是都一副高高在上的樣子,Gosssiping
162,Re: [問卦] 真的有人只喜歡平胸的女生嗎？,Gosssiping
163,[新聞] 台南警「劈腿4女」集夢幻職業！激戰偷拍4,Gosssiping
164,[問卦] 有沒有一早就有人在車廂失控的八卦,Gosssiping
165,[問卦] 婦產科醫生會性冷感嗎？,Gosssiping
166,[問卦] 跑馬拉松二三名在搶水？,Gosssiping
167,[問卦] 問路搭訕女生 可行嘛？？,Gosssiping
168,[問卦] 台灣高樓搬家有這樣的嗎？,Gosssiping
169,[問卦] YT影片播放器被封鎖會怎樣??,Gosssiping
170,[新聞] 戴佩妮歌詞改1字 感情觀轉彎,Gosssiping
171,[問卦] 捷運為什麼會蓋成彎來彎去??,Gosssiping
172,[問卦] 女同事喝到我的咖啡還繼續喝，算交往？,Gosssiping
173,[新聞] 疑租賃倉庫糾紛打群架 嘉義水上1死2傷,Gosssiping
174,[問卦] 安芝儇為什麼不加入富邦,Gosssiping
175,[問卦] 哈瑪斯看到挺哈外國人會照殺嗎？,Gosssiping
176,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若,Gosssiping
177,[問卦] 需要握扶手要看哪一科?,Gosssiping
178,[新聞] 港湖泛綠分裂！賴清德幫高嘉瑜站台 吳欣岱場外發文宣,Gosssiping
179,[問卦] 鑽石其實根本不值錢？,Gosssiping
180,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若,Gosssiping
181,[問卦] 以色列是類似蝙蝠俠的存在嗎？,Gosssiping
182,[問卦] 地鐵484台灣唯一0負評的交通運輸？,Gosssiping
183,[問卦] 猶太人是世界的幕後爸爸喔？,Gosssiping
184,[問卦] 女生比較喜歡手搖飲料,Gosssiping
185,[問卦] 起床發現手握著自己的陰莖,Gosssiping
186,[問卦] 31處男二次感冒要看醫生嗎,Gosssiping
187,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若,Gosssiping
188,[新聞] 「心累」新北公務員5年682人辭職,Gosssiping
189,[問卦] 竹科新貴 不生小孩了？,Gosssiping
190,Re: [問卦] 讀書是翻轉階級的唯一方法？,Gosssiping
191,[問卦] 真的有人只喜歡平胸的女生嗎？,Gosssiping
192,Re: [問卦] 讀書是翻轉階級的唯一方法？,Gosssiping
193,[問卦] 其實我們都是有錢人的後代吧？,Gosssiping
194,[問卦] 爆發戰爭我國平民的疏散計劃?,Gosssiping
195,[問卦] 天氣是不是變冷了阿,Gosssiping
196,Re: [問卦] 日本四國為什麼都沒什麼人去？,Gosssiping
197,[新聞] 公車開太快猛急煞！　乘客起身準備下車..,Gosssiping
198,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若,Gosssiping
199,Re: [問卦] 炸醫院這波誰會大翻車？,Gosssiping
200,[新聞] 劈腿4女偷拍 服刑後重新考上警察,Gosssiping
201,[問卦] 以色列人敢不回國嗎？,Gosssiping
202,[新聞] 美常春藤名校學生多同情哈瑪斯　猶太政,Gosssiping
203,Re: [問卦] 讀書是翻轉階級的唯一方法？,Gosssiping
204,Re: [問卦] 有沒有可能中國俄羅斯才是正義,Gosssiping
205,Re: [問卦] 女友欠30萬 現在已經沒有辦法了...,Gosssiping
206,[新聞] 統一發票明年預算增3成 獎金支出大幅提,Gosssiping
207,[問卦] 為自己認同道歉的大航海時代來了嗎？,Gosssiping
208,[問卦] 有沒有中共很可愛的八卦,Gosssiping
209,Re: [問卦] 讀書是翻轉階級的唯一方法？,Gosssiping
210,[問卦] FBI是不是特偵組啊,Gosssiping
211,[問卦]  PTT永久水桶是不是一個榥子,Gosssiping
212,Re: [新聞] 台中市人口破284萬 彰化遷入7546人最多,Gosssiping
213,[問卦] 美國的財富真的都掌握在猶太人手上嗎,Gosssiping
214,[新聞] 邱國正：避免戰爭在本島發生,Gosssiping
215,[問卦] 女同事問我 如果我去你會去嗎 代表？,Gosssiping
216,[問卦] 克拉克炸到醫院會說什麼,Gosssiping
217,Re: [問卦] 讀書是翻轉階級的唯一方法？,Gosssiping
218,[問卦] 31處男在台北一定交不到女朋友怎麼辦,Gosssiping
219,[問卦] 千金大小姐都玩很大嗎?,Gosssiping
220,[新聞] 日本小學生畢旅訪花蓮 品嚐臭豆腐及體驗,Gosssiping
221,[問卦] 這是科爾鴨嗎,Gosssiping
222,Re: [問卦] 先進國家為何不引入紅綠燈倒數顯示功能,Gosssiping
223,[新聞] 拜登訪問前夕 以色列空襲加薩醫院500人,Gosssiping
224,[問卦] 去小北百貨買到潤髮精有多幹？,Gosssiping
225,[新聞] 人妻對小王說卵巢痛、騎你頂太… 大學師,Gosssiping
226,Re: [新聞] 拜登訪問前夕 以色列空襲加薩醫院500人,Gosssiping
227,[新聞] 純市話調查 柯文哲、侯友宜支持度僅差0.8,Gosssiping
228,[問卦] 阿拉和耶和華算一個上帝各自表述嗎,Gosssiping
229,Re: [新聞] 推演大陸貿易壁壘調查最悲觀情境 ECFA終,Gosssiping
230,Re: [問卦] 日本四國有什麼好玩的?,Gosssiping
231,[問卦] 軍武板到底什麼人在看,Gosssiping
232,Re: [爆卦] 以色列炸到醫院,Gosssiping
233,[新聞] 柯文哲戲謔、訕笑模仿陳菊　學者怒批,Gosssiping
234,[問卦] 隔壁搬來的鄰居一直纏著我,Gosssiping
235,Re: [新聞] 嚴凱泰生前熱愛名錶 廠商「量身打造」,Gosssiping
236,[問卦] 有沒有可能中國俄羅斯才是正義,Gosssiping
237,[新聞] 役男入伍前夕酒駕還甩鍋女友 遭警打臉秒,Gosssiping
238,Re: [爆卦] 以色列炸到醫院,Gosssiping
239,Re: [問卦] 法官怎麼會違法判決，問題在那兒,Gosssiping
240,[新聞] 投訴國中「服儀規定」! 匿名校友版主遭,Gosssiping
241,[問卦] 你試過失業最久是多久,Gosssiping
242,[新聞] 簽書會立委致詞「永遠的院長」 蘇貞昌自,Gosssiping
243,[問卦] 炸醫院這波誰會大翻車？,Gosssiping
244,[新聞] 賴清德廟口開講 基進吳欣岱場外發扇子 ,Gosssiping
245,[新聞] 重陽節將至 蔡英文總統下午探視百歲人瑞,Gosssiping
246,[問卦] 操雞掰 就是以色列炸的醫院吧,Gosssiping
247,[新聞] 桃園議員詹江村 踢爆綠營兩面手法,Gosssiping
248,[新聞] 全教產控 黨產會將政黨紛爭帶入校園,Gosssiping
249,[問卦] 以色列有神力女超人 台灣有？,Gosssiping
250,Re: [問卦] 台灣挺俄挺哈瑪斯的很多？,Gosssiping
251,[問卦] 為什麼巴基斯坦有核彈 巴勒斯坦沒有?,Gosssiping
252,[問卦] 憂鬱症是不是被網紅污名化？,Gosssiping
253,Re: [問卦] 讀書是翻轉階級的唯一方法？,Gosssiping
254,[新聞] 拚總統連署涉賄 新埔鎮代會主席收押,Gosssiping
255,Re: [新聞] 批「民主初選 」3大不可行 黃珊珊：再協商也不會有結果,Gosssiping
256,[新聞] 台海若開戰誰先撤？沖繩避無可避、不允,Gosssiping
257,Re: [問卦] 上帝降下大洪水後為啥還有其他人?,Gosssiping
258,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若,Gosssiping
259,[參選] panex0845 農場標題殺手,Gosssiping
260,[問卦] 太陽花遇到美豬洗產地會怎樣?,Gosssiping
261,[問卦] 吳彥祖這髮型,Gosssiping
262,[爆卦] 以色列轟炸ＧＡＺＡ醫院,Gosssiping
263,[新聞] 李鴻源質疑口罩國家隊大賺回扣 王美花批,Gosssiping
264,[問卦] 以色列說醫院不是他們炸的 怎解,Gosssiping
265,Re: [新聞] 幫高嘉瑜連唱4遍生日歌 賴清德掛保證：,Gosssiping
266,[問卦] 慟！Xperia 5 II 螢幕出現綠線了,Gosssiping
267,[問卦] 法官怎麼會違法判決，問題在那兒,Gosssiping
268,Re: [問卦] 以色列說醫院不是他們炸的 怎解,Gosssiping
269,[新聞]港湖泛綠雙姝怨!高嘉瑜、吳欣岱爭挺賴正統,Gosssiping
270,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若,Gosssiping
271,[問卦] 讀書是翻轉階級的唯一方法？,Gosssiping
272,Re: [問卦] 讀書是翻轉階級的唯一方法？,Gosssiping
273,[問卦] 如果你是上帝會選哪邊？,Gosssiping
274,[問卦] 幹你娘中東 這次油價真的要漲了,Gosssiping
275,[新聞] 大樂透頭獎1注獨得1.95億 獎落高雄,Gosssiping
276,[問卦] 樓下停車場車子警報器狂響,Gosssiping
277,Re: [問卦] 愛新覺羅腦袋還好嗎,Gosssiping
278,Re: [問卦] 有鄉民認識道士嗎？,Gosssiping
279,[問卦] 幸好台灣沒有宗教狂熱,Gosssiping
280,Re: [爆卦] (影片）以色列炸到醫院,Gosssiping
281,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若,Gosssiping
282,Re: [問卦] 以色列國防部長命令軍隊殺死每一個看到的,Gosssiping
283,[問卦] 感覺好孤單，該怎麼認識新朋友,Gosssiping
284,[爆卦] 新店火災已撲滅,Gosssiping
285,Re: [問卦] 以色列國防部長命令軍隊殺死每一個看到的,Gosssiping
286,[問卦] 以色列炸醫院 是巴勒斯坦人該還的吧?,Gosssiping
287,[問卦] 英國會想奪回諾曼地嗎,Gosssiping
288,[參選]  天主說一定要幫助 EVEA   ( 頭香 ),Gosssiping
289,[問卦] 納粹德國當年真的守不住諾曼第嗎?,Gosssiping
290,Re: [問卦] 阿滴屌打那個假英國人對吧？,Gosssiping
291,[問卦] 台北101大樓預估壽命有多久,Gosssiping
292,Re: [新聞] 阿滴親考3大英文檢定！　「超鬼分數」全,Gosssiping
293,[問卦] 我的手握著方向盤,Gosssiping
294,[新聞] 幫高嘉瑜連唱4遍生日歌 賴清德掛保證：,Gosssiping
295,[爆卦] 以色列炸到醫院,Gosssiping
296,[新聞] 史上首例！士林法院民事合議庭爆內鬨　庭,Gosssiping
297,Re: [問卦] 都是美國的兒子 為何以色列比台灣屌很多,Gosssiping
298,[問卦] 暗黑4第二賽季延後開服了,Gosssiping
299,[問卦] 身邊的人用的iPhone最早是第幾代？,Gosssiping
300,Re: [爆卦] 以色列炸到醫院,Gosssiping
301,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若,Gosssiping
302,Re: [新聞] 無認證的爆閃燈濫設於各大路口！王國材推諉地方　立委批,Gosssiping
303,Re: [問卦] 工作被罵修個熱水器又噴該4千5如何釋懷？,Gosssiping
304,[問卦] 阿滴屌打那個假英國人對吧？,Gosssiping
305,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若,Gosssiping
306,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若,Gosssiping
307,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若只,Gosssiping
308,[問卦] 多米多羅什麼時候介紹咒術大便作？,Gosssiping
309,Re: [問卦] 以色列怎麼敢在聯合國拿聖經當地契 ,Gosssiping
310,[問卦] 戰爭是先打的錯還是反殺的錯？,Gosssiping
311,Re: [爆卦] 以色列炸到醫院,Gosssiping
312,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若,Gosssiping
313,[問卦] 麻辣鮮師馬拉松會有人看嗎?,Gosssiping
314,[問卦] 以色列國防部長命令軍隊殺死每一個看到的,Gosssiping
315,[問卦] 黃任中當年有多屌？？,Gosssiping
316,[問卦] 失去人生的目標怎麼辦？,Gosssiping
317,[問卦] 跟男生進展這樣算好嗎,Gosssiping
318,Re: [新聞] 阿滴親考3大英文檢定！　「超鬼分數」全,Gosssiping
319,[問卦] 連10公斤電池都拿不動，適合騎車嗎?,Gosssiping
320,[問卦] 會噓阿滴的人很眼紅是吧？,Gosssiping
321,Re: [問卦] 殭屍病毒做得出來嗎,Gosssiping
322,[問卦] 婚姻板的故事為什麼都那麼慘烈,Gosssiping
323,[問卦] 為何國外女權支持性專區台灣相反？,Gosssiping
324,[問卦] 6G會改變生活嗎？,Gosssiping
325,[問卦] 智慧音箱只有大廠的可以用嗎,Gosssiping
326,[問卦] 素還真和八趾麒麟是啥關係？,Gosssiping
327,Re: [問卦] 都是美國的兒子 為何以色列比台灣屌很多,Gosssiping
328,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若,Gosssiping
329,[新聞] 你家「貓貓狗狗便便」也丟馬桶沖掉？　獸,Gosssiping
330,[問卦] 以色列空襲聯合國學校建築跟醫院,Gosssiping
331,[問卦] 愛新覺羅腦袋還好嗎,Gosssiping
332,[問卦] 殭屍病毒做得出來嗎,Gosssiping
333,Re: [新聞] 金溥聰質疑黃珊珊代表誰？ 柯辦回嗆：,Gosssiping
334,[問卦] 正副談不攏各兩年行否?,Gosssiping
335,[問卦] 每個112學生都有配ptt帳號嗎？,Gosssiping
336,[問卦] 爸爸問我每次經過我房間我都在看桌面,Gosssiping
337,Re: [問卦] 都是美國的兒子 為何以色列比台灣屌很多,Gosssiping
338,[新聞] 民眾黨團推中央特別囤房稅 引導空屋租售,Gosssiping
339,Re: [問卦] 殭屍病毒做得出來嗎,Gosssiping
340,Re: [新聞] 囤房稅2.0上限調高至10%？財部：稅率,Gosssiping
341,[新聞] 獨》台積電「被宣布」進龍科！破局不意,Gosssiping
342,[問卦] 今天是不屑紀念日嗎？,Gosssiping
343,[問卦] 基層警察是不是程度很差啊,Gosssiping
344,[新聞] 丹麥羽球賽戴資穎首輪過關 生涯第499勝到,Gosssiping
345,"[問卦]1個月了,賺60億巴西蛋要公布沒?",Gosssiping
346,Re: [問卦] 吃館長便當吃到烙賽是正常的嗎,Gosssiping
347,Re: [新聞] 賴清德挺「還路於民」大加碼 2030道路死,Gosssiping
348,[問卦] 沒人發現健保都不知道怎麼持續運作的嗎！,Gosssiping
349,Re: [問卦] 都是美國的兒子 為何以色列比台灣屌很多,Gosssiping
350,[問卦] 好像容易被女生討厭,Gosssiping
351,Re: [問卦] 殭屍病毒做得出來嗎,Gosssiping
352,Re: [問卦] 40大叔開始吃瑪卡，還有救嗎？,Gosssiping
353,[問卦] 妳我約定難過的往事不許提,Gosssiping
354,[問卦] 這個直播主484哪裡怪怪的,Gosssiping
355,[問卦] 臺灣怎麼連貨車串燒都跟日本差不多,Gosssiping
356,[新聞] 真人版灰姑娘？丹麥王子生日宴會尋獲高跟,Gosssiping
357,[問卦] 有沒有Garmin運動錶的八卦？,Gosssiping
358,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若只,Gosssiping
359,Re: [新聞] 阿滴親考3大英文檢定！　「超鬼分數」全,Gosssiping
360,[問卦] 人類要何時才能走出森林?,Gosssiping
361,[問卦] 巴薩隆納跟馬德里是不是也會互戰阿,Gosssiping
362,[問卦] 中國的航母戰鬥群怎不前往中東？,Gosssiping
363,[問卦] 能幹貓是因為主人太廢才會憂鬱嗎？,Gosssiping
364,Re: [新聞] 阿滴親考3大英文檢定！　「超鬼分數」全,Gosssiping
365,[問卦] 全廉是不是被盜帳號？,Gosssiping
366,Re: [新聞] 嚴凱泰生前熱愛名錶 廠商「量身打造」,Gosssiping
367,[問卦] 目前關於宇宙最新的發現是什麼？,Gosssiping
368,Re: [新聞] 快訊／民眾黨堅持全民調　金溥聰：若只,Gosssiping
369,[問卦] 有什麼老動漫很適合改編遊戲？,Gosssiping
370,[問卦] 爸爸很窮的話，孩子一定要出國打工？,Gosssiping
371,[問卦] 喔 幹 剛去超商發現一個超緊瑜珈褲妹子,Gosssiping
372,Re: [問卦] 為何沒飯局弟?,Gosssiping
373,[問卦] 如何讓台灣變成”當兵王國“,Gosssiping
374,[問卦] 處男比例最高的大學是哪間,Gosssiping
375,[問卦] 在台灣買露營車不划算吧？,Gosssiping
376,[新聞] 囤房稅2.0上限調高至10%？財部：稅率訂定,Gosssiping
377,[問卦] 有沒有造勢的八卦啊？,Gosssiping
378,[問卦] 逆著風也要飛翔 很辛苦也要堅強,Gosssiping
379,[新聞] 年輕人為何不投國民黨？　挺韓媒體人點名,Gosssiping
